void int			|	1	0	0	0	1
void int			|	4	0	0	0	1
eps				|	3	0	0	1	1
eps				|	-1	0	0	0	1
void int		   |	11	0	1	0	1
main				|	6	1	0	0	1
(					|	7	1	0	0	1
)					|	8	1	0	0	1
{					|	9	1	0	0	1
int ID }			|	18	0	1	0	1
}					|	-1	1	0	0	1
void				|	13	0	0	0	0
int				|	14	0	0	0	1
void				|	-1	1	0	1	1
int				|	15	0	0	0	1
int				|	18	0	0	0	0
int				|	-1	1	0	1	1
int				|	24	0	0	0	0
ID					|	26	0	0	0	0
}					|	28	0	0	0	1
int				|	42	0	1	0	0
int ID }			|	18	0	0	0	0
ID					|	29	0	1	0	1
int ID }		   |	18	0	0	0	1
}					|	-1	0	0	1	1
ID					|	30	0	0	0	1
ID					|	31	1	0	0	1
= += -= *=		|	34	0	1	0	1
ID					|	60	0	1	0	1
;					|	-1	1	0	1	1
=					|	38	0	0	0	0
+=					|	39	0	0	0	0
-=					|	40	0	0	0	0
*=					|	41	0	0	0	1
=					|	-1	1	0	1	1
+=					|	-1	1	0	1	1
-=					|	-1	1	0	1	1
*=					|	-1	1	0	1	1
int				|	43	0	0	0	1
int				|	15	0	1	0	1
ID					|	46	0	1	0	1
;					|	-1	1	0	1	1
ID					|	47	0	0	0	1
ID					|	48	1	0	0	1
= , ;				|	55	0	1	0	1
, ;				|	50	0	0	0	1
,					|	52	0	0	0	0
;					|	54	0	0	1	1
,					|	53	1	0	0	1
ID					|	47	0	0	0	1
;					|	-1	0	0	1	1
=					|	57	0	0	0	0
, ;				|	59	0	0	0	1
=					|	58	1	0	0	1
ID					|	60	0	0	0	1
, ;				|	-1	0	0	1	1
ID					|	61	0	0	0	1
ID					|	62	1	0	0	1
+ - * == != <	; ,	) |	63	0	0	0	1
+ - * == != <		|	65	0	0	0	0
; ,	)				|	67	0	0	0	1
+ - * == != <		|	74	0	1	0	1
ID (				|	68	0	0	0	1
, ;	)				|	-1	0	0	1	1
ID					|	70	0	0	0	0
(					|	71	0	0	0	1
ID					|	60	0	0	0	1
(					|	72	1	0	0	1
ID					|	60	0	1	0	1
)					|	-1	1	0	1	1
+					|	81	0	0	0	0
-					|	82	0	0	0	0
*					|	83	0	0	0	0
==					|	84	0	0	0	0
!=					|	85	0	0	0	0
>					|	87	0	0	0	1
+					|	-1	1	0	1	1
-					|	-1	1	0	1	1
*					|	-1	1	0	1	1
==					|	-1	1	0	1	1
!=					|	-1	1	0	1	1
>					|	-1	1	0	1	1
