void int	|	2	0	0	0	1
void int	|	4	0	0	0	0
void int	|	15	0	0	0	1
void int	|	11	0	1	0	1
main	|	6	1	0	0	1
(	|	7	1	0	0	1
)	|	8	1	0	0	1
{	|	9	1	0	0	1
int return ; } if |	16	0	1	0	1
}	|	0	1	0	0	1
void	|	13	0	0	0	0
int	|	14	0	0	0	1
void	|	0	1	0	1	1
int	|	0	1	0	1	1
void int	|	0	1	0	1	1
int |	41	0	0	0	0
int ID	|	21	0	0	0	0
int	if |	59	0	0	0	0
int	|	20	0	0	0	0
int return ; }	|	108	0	0	0	1
ID	|	23	0	1	0	1
int	return ; } |	16	0	0	0	1
ID	|	106	0	1	0	1
= += -= *=	|	78	0	1	0	1
( ID	|	27	0	1	0	1
;	|	0	1	0	1	1
( ID	|	28	0	0	0	1
ID	|	30	0	0	0	0
( ;	|	37	0	0	0	1
ID	|	103	0	1	0	1
+ - * ;	, |	32	0	0	0	1
+ - *	|	34	0	0	0	0
+ - * ;	, |	36	0	0	0	1
+ - *	|	88	0	1	0	1
( ID	|	27	0	0	0	1
;	,	|	0	0	0	1	1
(	|	38	1	0	0	1
( ID	|	27	0	1	0	1
)	|	40	1	0	0	1
+ - *	|	32	0	0	0	1
int	|	43	0	1	0	1
;	ID  return int if } |	16	0	0	0	1
int	|	14	0	1	0	1
int ID	|	46	0	0	0	1
;	|	0	1	0	1	1
ID	|	106	0	1	0	1
= 	|	49	0	1	0	0
,  ;	|	54	0	0	0	1
=	|	51	0	0	0	0
= ( ID	|	53	0	0	0	1
=	|	52	1	0	0	1
( ID	|	27	0	0	0	1
= ( ID	|	0	1	0	1	1
, int	|	56	0	0	0	0
, int ;	|	58	0	0	0	1
, ;	|	57	1	0	0	1
ID ;	|	44	0	0	0	1
, int ;	|	45	1	0	1	1
if	|	60	1	0	0	1
(	|	61	1	0	0	1
( ID == != <	|	68	0	1	0	1
)	|	63	1	0	0	1
{	|	64	1	0	0	1
;	ID  return int if } |	16	0	1	0	1
}	|	66	1	0	0	1
else	ID int return	|	71	0	1	0	1
;	ID  return int if }	|	16	0	0	0	1
( ID	|	112	0	1	0	1
== != <	|	89	0	1	0	1
( ID	|	112	0	0	0	1
else	|	73	0	0	0	0
else ID int return	|	77	0	0	0	1
else	|	74	1	0	0	1
{	|	75	1	0	0	1
;	ID  return int if } 	|	16	0	1	0	1
}	|	0	1	0	1	1
else ID int return	|	113 0	0	0	1
= += -= *=	|	79	0	0	0	0
+= 	|	0	1	0	1	0
-= 	|	0	1	0	1	0
*=	|	0	1	0	1	0
=	|	0	1	0	1	1
=	|	0	1	0	1	1
-	|	83	1	0	0	1
+	|	83	1	0	0	1
*	|	83	1	0	0	1
-	|	0	0	0	0	0
+ - *	|	90	0	0	0	1
== != <	|	96	0	0	0	1
+	|	93	0	0	0	0
-	|	94	0	0	0	0
* ;	|	95	0	0	0	1
+	|	0	1	0	1	1
-	|	0	1	0	1	1
*	|	0	1	0	1	1
==	|	0	1	0	1	0
!=	|	0	1	0	1	0
< 	|	0	1	0	1	1
=	|	100	1	0	0	1
=	|	0	1	0	1	1
!	|	100	1	0	0	1
< 	|	0	1	0	1	1
ID	|	105	0	0	0	1
ID	|	106	0	0	0	0
ID	|	107	0	0	0	1
ID	|	0	1	0	1	1
ID	|	0	1	0	1	1
return	|	110		1	0	0	0
} | 65	 0 0 1 1
ID	|	111		1	0	0	1 
;	|	10		1	0	0	1
ID	|	0		1	0	1	1
return	|	110		1	0	0 0
else ID int return | 0	1	0	1	1
